index,positive,negative,polarity
0,0.7481189767519633,0.14657231171925864,0.6015466650327047
1,0.49791012704372406,0.17492404792990005,0.32298607911382404
2,0.6676162779331207,0.1969965696334839,0.47061970829963684
3,0.7229414463043213,0.145041024684906,0.5779004216194152
4,0.48960475126902264,0.40587925910949707,0.08372549215952556
5,0.4812276363372803,0.22170144319534302,0.25952619314193726
6,0.7627484798431396,0.14850831031799316,0.6142401695251465
7,0.5618324677149454,0.29217543204625446,0.269657035668691
8,0.5314071973164877,0.28837287425994873,0.2430343230565389
9,0.49735992153485614,0.30910911162694293,0.1882508099079132
