index,positive,negative,polarity
0,0.2071533203125,0.00885009765625,0.19830322265625
1,0.2452392578125,0.006134033203125,0.239105224609375
2,0.14056396484375,0.0084228515625,0.13214111328125
3,0.163330078125,0.0086669921875,0.1546630859375
4,0.1934814453125,0.00994873046875,0.18353271484375
5,0.1221923828125,0.01055908203125,0.11163330078125
6,0.2032470703125,0.01025390625,0.1929931640625
7,0.195068359375,0.007781982421875,0.187286376953125
8,0.123046875,0.0186767578125,0.1043701171875
9,0.1507568359375,0.0159912109375,0.134765625
10,0.18701171875,0.006988525390625,0.180023193359375
11,0.1064605712890625,0.015960693359375,0.0904998779296875
12,0.1719970703125,0.0150146484375,0.156982421875
13,0.1820068359375,0.00836181640625,0.17364501953125
14,0.1878662109375,0.0084228515625,0.179443359375
15,0.174560546875,0.017822265625,0.15673828125
16,0.196533203125,0.007537841796875,0.188995361328125
17,0.2027587890625,0.00970458984375,0.19305419921875
18,0.2066650390625,0.0126953125,0.1939697265625
19,0.144775390625,0.0126953125,0.132080078125
20,0.2349853515625,0.0137939453125,0.22119140625
21,0.19775390625,0.0098876953125,0.1878662109375
22,0.2001953125,0.006988525390625,0.193206787109375
23,0.17578125,0.0147705078125,0.1610107421875
24,0.043304443359375,0.01031494140625,0.032989501953125
25,0.1473388671875,0.012451171875,0.1348876953125
26,0.14544677734375,0.010009765625,0.13543701171875
27,0.25,0.011962890625,0.238037109375
28,0.206298828125,0.0087890625,0.197509765625
29,0.077392578125,0.040283203125,0.037109375
30,0.1802978515625,0.01025390625,0.1700439453125
31,0.236328125,0.0,0.236328125
32,0.1815185546875,0.01470947265625,0.16680908203125
33,0.0467681884765625,0.01409912109375,0.0326690673828125
34,0.1585693359375,0.01043701171875,0.14813232421875
