index,positive,negative,polarity
6,0.06278228759765625,0.30970001220703125,-0.246917724609375
7,0.20458221435546875,0.15068435668945312,0.053897857666015625
8,0.08791351318359375,0.300018310546875,-0.21210479736328125
9,0.10538101196289062,0.27303314208984375,-0.16765213012695312
10,0.12556076049804688,0.22049331665039062,-0.09493255615234375
11,0.12188339233398438,0.206146240234375,-0.08426284790039062
12,0.12872695922851562,0.22762298583984375,-0.09889602661132812
13,0.106536865234375,0.24332427978515625,-0.13678741455078125
14,0.13177108764648438,0.24085617065429688,-0.1090850830078125
15,0.13980865478515625,0.2186126708984375,-0.07880401611328125
16,0.1287384033203125,0.23810577392578125,-0.10936737060546875
17,0.126708984375,0.2553215026855469,-0.12861251831054688
18,0.133880615234375,0.24566650390625,-0.111785888671875
19,0.576934814453125,0.077484130859375,0.49945068359375
20,0.0194091796875,0.660125732421875,-0.640716552734375
21,0.1495208740234375,0.23079681396484375,-0.08127593994140625
23,0.153289794921875,0.18569183349609375,-0.03240203857421875
24,0.04239654541015625,0.3016471862792969,-0.2592506408691406
25,0.08385467529296875,0.3083648681640625,-0.22451019287109375
26,0.1522216796875,0.25202178955078125,-0.09980010986328125
27,0.14508056640625,0.22344970703125,-0.078369140625
28,0.0764617919921875,0.3149147033691406,-0.23845291137695312
29,0.089752197265625,0.2873992919921875,-0.1976470947265625
30,0.034088134765625,0.3908538818359375,-0.3567657470703125
32,0.18865966796875,0.1840362548828125,0.0046234130859375
33,0.1856689453125,0.1956939697265625,-0.0100250244140625
34,0.2232666015625,0.158538818359375,0.064727783203125
35,0.21868896484375,0.1605682373046875,0.0581207275390625
36,0.16876220703125,0.19178009033203125,-0.02301788330078125
38,0.09149932861328125,0.29261016845703125,-0.20111083984375
39,0.089630126953125,0.3187255859375,-0.229095458984375
40,0.07338333129882812,0.31136322021484375,-0.23797988891601562
44,0.17542266845703125,0.23000335693359375,-0.0545806884765625
53,0.02394866943359375,0.2925262451171875,-0.26857757568359375
54,0.04465484619140625,0.29410552978515625,-0.24945068359375
55,0.038784027099609375,0.29071807861328125,-0.2519340515136719
56,0.04224395751953125,0.27156829833984375,-0.2293243408203125
57,0.052806854248046875,0.27237701416015625,-0.21957015991210938
58,0.06353378295898438,0.24968338012695312,-0.18614959716796875
59,0.0433502197265625,0.2623443603515625,-0.218994140625
60,0.043666839599609375,0.2835960388183594,-0.23992919921875
61,0.0492706298828125,0.2669219970703125,-0.2176513671875
62,0.23938751220703125,0.1699066162109375,0.06948089599609375
63,0.24359130859375,0.18463134765625,0.0589599609375
64,0.241607666015625,0.17535400390625,0.066253662109375
65,0.2067108154296875,0.2008209228515625,0.005889892578125
66,0.13634490966796875,0.2720947265625,-0.13574981689453125
67,0.21768951416015625,0.1993408203125,0.01834869384765625
68,0.27083587646484375,0.1416778564453125,0.12915802001953125
76,0.07757568359375,0.5512008666992188,-0.47362518310546875
77,0.14397048950195312,0.2270355224609375,-0.08306503295898438
78,0.15296173095703125,0.23736953735351562,-0.08440780639648438
79,0.14405441284179688,0.280517578125,-0.13646316528320312
80,0.16864013671875,0.2112274169921875,-0.0425872802734375
81,0.276824951171875,0.09963226318359375,0.17719268798828125
82,0.26706695556640625,0.14036941528320312,0.12669754028320312
83,0.22481155395507812,0.16440200805664062,0.0604095458984375
