index,positive,negative,polarity
0,0.15352630615234375,0.20818328857421875,-0.054656982421875
1,0.072113037109375,0.5250244140625,-0.452911376953125
2,0.166717529296875,0.16773223876953125,-0.00101470947265625
3,0.15306854248046875,0.21482467651367188,-0.061756134033203125
4,0.16651153564453125,0.19193267822265625,-0.025421142578125
5,0.14459228515625,0.18317794799804688,-0.038585662841796875
6,0.12839508056640625,0.18454360961914062,-0.056148529052734375
7,0.23929977416992188,0.10284423828125,0.13645553588867188
8,0.13077163696289062,0.20855712890625,-0.07778549194335938
9,0.13862228393554688,0.20074081420898438,-0.0621185302734375
10,0.145294189453125,0.17346954345703125,-0.02817535400390625
11,0.1907501220703125,0.176422119140625,0.0143280029296875
12,0.0720367431640625,0.5475616455078125,-0.47552490234375
13,0.20824432373046875,0.12905120849609375,0.079193115234375
14,0.01507568359375,0.829437255859375,-0.814361572265625
15,0.1826019287109375,0.17356491088867188,0.009037017822265625
16,0.2169342041015625,0.13248062133789062,0.08445358276367188
17,0.24338531494140625,0.14916229248046875,0.0942230224609375
18,0.14310073852539062,0.21110153198242188,-0.06800079345703125
19,0.14507293701171875,0.2356414794921875,-0.09056854248046875
20,0.426239013671875,0.091033935546875,0.335205078125
21,0.10097885131835938,0.21608352661132812,-0.11510467529296875
22,0.15649795532226562,0.18959426879882812,-0.0330963134765625
23,0.14994430541992188,0.19184112548828125,-0.041896820068359375
24,0.10272598266601562,0.2926063537597656,-0.18988037109375
25,0.1556854248046875,0.22832489013671875,-0.07263946533203125
26,0.18619537353515625,0.15688323974609375,0.0293121337890625
27,0.4902801513671875,0.1049957275390625,0.385284423828125
28,0.19734573364257812,0.16282272338867188,0.03452301025390625
29,0.16721343994140625,0.17482757568359375,-0.0076141357421875
30,0.112091064453125,0.22135543823242188,-0.10926437377929688
31,0.1186370849609375,0.16834640502929688,-0.049709320068359375
32,0.24420928955078125,0.1344757080078125,0.10973358154296875
33,0.1704864501953125,0.17537689208984375,-0.00489044189453125
34,0.19316864013671875,0.18873214721679688,0.004436492919921875
35,0.14119338989257812,0.2205352783203125,-0.07934188842773438
36,0.20020675659179688,0.1408843994140625,0.059322357177734375
37,0.14355850219726562,0.24827194213867188,-0.10471343994140625
38,0.1632537841796875,0.18538284301757812,-0.022129058837890625
39,0.15663909912109375,0.237701416015625,-0.08106231689453125
40,0.114227294921875,0.22748565673828125,-0.11325836181640625
41,0.3946990966796875,0.09580230712890625,0.29889678955078125
43,0.103057861328125,0.479339599609375,-0.37628173828125
44,0.15720367431640625,0.18334197998046875,-0.0261383056640625
45,0.5027313232421875,0.037322998046875,0.4654083251953125
46,0.14410018920898438,0.307861328125,-0.16376113891601562
47,0.13622665405273438,0.25115966796875,-0.11493301391601562
48,0.0,0.0,0.0
49,0.18624114990234375,0.1538848876953125,0.03235626220703125
50,0.14398193359375,0.24653244018554688,-0.10255050659179688
51,0.415771484375,0.14157867431640625,0.27419281005859375
52,0.1212310791015625,0.21785736083984375,-0.09662628173828125
53,0.13333511352539062,0.24290847778320312,-0.1095733642578125
54,0.11127090454101562,0.2589530944824219,-0.14768218994140625
55,0.147552490234375,0.2122039794921875,-0.0646514892578125
56,0.161712646484375,0.20867538452148438,-0.046962738037109375
57,0.14677810668945312,0.17647933959960938,-0.02970123291015625
58,0.21503067016601562,0.14019012451171875,0.07484054565429688
59,0.16351318359375,0.22713088989257812,-0.06361770629882812
60,0.10498809814453125,0.26180267333984375,-0.1568145751953125
61,0.18687057495117188,0.17966461181640625,0.007205963134765625
62,0.1553802490234375,0.20905303955078125,-0.05367279052734375
63,0.7830810546875,0.0330810546875,0.75
64,0.19388580322265625,0.16073989868164062,0.033145904541015625
65,0.16083908081054688,0.18248748779296875,-0.021648406982421875
66,0.12589645385742188,0.20827865600585938,-0.0823822021484375
67,0.17121505737304688,0.21218109130859375,-0.040966033935546875
68,0.1491241455078125,0.18053054809570312,-0.031406402587890625
69,0.16869354248046875,0.17161178588867188,-0.002918243408203125
70,0.16326141357421875,0.21036529541015625,-0.0471038818359375
71,0.1491851806640625,0.21197891235351562,-0.06279373168945312
72,0.09482192993164062,0.267120361328125,-0.17229843139648438
73,0.1870880126953125,0.2482452392578125,-0.0611572265625
74,0.10335159301757812,0.30097198486328125,-0.19762039184570312
75,0.16339492797851562,0.17791748046875,-0.014522552490234375
76,0.19988632202148438,0.16138458251953125,0.038501739501953125
77,0.16495895385742188,0.18231201171875,-0.017353057861328125
78,0.0984649658203125,0.2740669250488281,-0.17560195922851562
79,0.17957305908203125,0.175872802734375,0.00370025634765625
80,0.17247772216796875,0.17156982421875,0.00090789794921875
81,0.19116973876953125,0.22212600708007812,-0.030956268310546875
82,0.07007598876953125,0.357635498046875,-0.28755950927734375
83,0.10860824584960938,0.29161834716796875,-0.18301010131835938
84,0.12813949584960938,0.21867752075195312,-0.09053802490234375
85,0.21144866943359375,0.14267730712890625,0.0687713623046875
86,0.31656646728515625,0.0926361083984375,0.22393035888671875
87,0.19297027587890625,0.18923187255859375,0.0037384033203125
88,0.11861038208007812,0.17632675170898438,-0.05771636962890625
89,0.19682693481445312,0.17645263671875,0.020374298095703125
90,0.12540817260742188,0.2421417236328125,-0.11673355102539062
91,0.14739990234375,0.28763580322265625,-0.14023590087890625
92,0.1694488525390625,0.16002655029296875,0.00942230224609375
93,0.08986663818359375,0.24343109130859375,-0.153564453125
94,0.31346893310546875,0.1313323974609375,0.18213653564453125
95,0.11205291748046875,0.2585182189941406,-0.14646530151367188
96,0.15703582763671875,0.1690826416015625,-0.01204681396484375
97,0.26364898681640625,0.14117431640625,0.12247467041015625
